message,label
You have an unpaid invoice of $900. Pay now: http://bit.ly/3672,fraud
Your OTP is 4992. Please do not share it with anyone.,safe
Your order #7418 has been shipped.,safe
Payment of $6446 was successfully processed.,safe
Your package with tracking number 2368 is in transit.,safe
You have an unpaid invoice of $3751. Pay now: http://bit.ly/9029,fraud
Your account statement for 2328 is now available.,safe
Your account has been compromised. Verify now: 1371,fraud
You are selected for a loan of $265. Apply here: http://bit.ly/6162,fraud
Reminder: Your appointment is scheduled for 5721.,safe
Payment of $7653 was successfully processed.,safe
Unauthorized login attempt detected. Verify your account: 4152,fraud
You are selected for a loan of $1118. Apply here: http://bit.ly/9789,fraud
Win a new iPhone! Click 4027 to enter.,fraud
Your order #6061 has been shipped.,safe
Congratulations! You won $4501. Click here to claim: http://bit.ly/2781,fraud
Your subscription for 1743 has been renewed.,safe
You are selected for a loan of $3293. Apply here: http://bit.ly/7346,fraud
Your account has been compromised. Verify now: 1657,fraud
Win a new iPhone! Click 1713 to enter.,fraud
Urgent! Your credit card will be blocked. Action required: 3986,fraud
Your subscription for 6807 has been renewed.,safe
Reminder: Your appointment is scheduled for 3058.,safe
Your account has been compromised. Verify now: 3052,fraud
Your bank account ending with 7543 has been credited with $November.,safe
You have an unpaid invoice of $329. Pay now: http://bit.ly/4862,fraud
Your order #4548 has been shipped.,safe
Unauthorized login attempt detected. Verify your account: 4179,fraud
Account suspension notice! Click 475 to reactivate.,fraud
Confirm your password immediately: 1875,fraud
Your bank account ending with 6236 has been credited with $November.,safe
Your OTP is 483. Please do not share it with anyone.,safe
Thank you for your payment of $1760.,safe
Your bill of $7560 is due on October.,safe
Unauthorized login attempt detected. Verify your account: 1066,fraud
Payment of $2644 was successfully processed.,safe
Account suspension notice! Click 772 to reactivate.,fraud
Your package with tracking number 1957 is in transit.,safe
Reminder: Your appointment is scheduled for 7484.,safe
Unauthorized login attempt detected. Verify your account: 2612,fraud
You received a prize of $341. Visit http://bit.ly/5099 to claim it.,fraud
Your bill of $8736 is due on October.,safe
Your account has been compromised. Verify now: 4892,fraud
Your package with tracking number 6145 is in transit.,safe
Confirm your password immediately: 644,fraud
Payment of $4519 was successfully processed.,safe
Reminder: Your appointment is scheduled for 2921.,safe
Your bank account ending with 2507 has been credited with $October.,safe
Your bank account ending with 6531 has been credited with $November.,safe
Your account statement for 4832 is now available.,safe
Your OTP is 545. Please do not share it with anyone.,safe
Win a new iPhone! Click 2100 to enter.,fraud
Your account statement for 6465 is now available.,safe
Your account has been compromised. Verify now: 828,fraud
Your order #9291 has been shipped.,safe
Your account has been compromised. Verify now: 3369,fraud
Reminder: Your appointment is scheduled for 7591.,safe
You are selected for a loan of $1125. Apply here: http://bit.ly/8774,fraud
Your subscription for 6442 has been renewed.,safe
Payment of $6079 was successfully processed.,safe
Your bank account ending with 1188 has been credited with $September.,safe
You have an unpaid invoice of $924. Pay now: http://bit.ly/6127,fraud
You are selected for a loan of $1319. Apply here: http://bit.ly/3915,fraud
Payment of $3278 was successfully processed.,safe
Thank you for your payment of $2692.,safe
You have an unpaid invoice of $345. Pay now: http://bit.ly/1076,fraud
Thank you for your payment of $2760.,safe
Urgent! Your credit card will be blocked. Action required: 4520,fraud
Urgent! Your credit card will be blocked. Action required: 3181,fraud
Your subscription for 2602 has been renewed.,safe
You received a prize of $1766. Visit http://bit.ly/9390 to claim it.,fraud
Your order #3231 has been shipped.,safe
Your subscription for 8507 has been renewed.,safe
Your bill of $1917 is due on November.,safe
Your subscription for 2134 has been renewed.,safe
You received a prize of $1564. Visit http://bit.ly/9493 to claim it.,fraud
Reminder: Your appointment is scheduled for 2037.,safe
Account suspension notice! Click 4306 to reactivate.,fraud
Your account has been compromised. Verify now: 860,fraud
Thank you for your payment of $7505.,safe
You received a prize of $492. Visit http://bit.ly/9898 to claim it.,fraud
Your account statement for 9554 is now available.,safe
You have an unpaid invoice of $1669. Pay now: http://bit.ly/5347,fraud
Reminder: Your appointment is scheduled for 8988.,safe
Win a new iPhone! Click 1378 to enter.,fraud
Your subscription for 5580 has been renewed.,safe
